name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,14.436375092999981,114.453125,1182.296875
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,False,,,
bo_with_warped_gp.ipynb,False,,,
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,False,,,
compare_mc_analytic_acquisition.ipynb,False,,,
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,False,,,
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,False,,,
custom_botorch_model_in_ax.ipynb,False,,,
discrete_multi_fidelity_bo.ipynb,False,,,
fit_model_with_torch_optimizer.ipynb,False,,,
information_theoretic_acquisition_functions.ipynb,False,,,
max_value_entropy.ipynb,False,,,
meta_learning_with_rgpe.ipynb,False,,,
multi_fidelity_bo.ipynb,False,,,
multi_objective_bo.ipynb,False,,,
one_shot_kg.ipynb,False,,,
optimize_stochastic.ipynb,False,,,
optimize_with_cmaes.ipynb,False,,,
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,False,,,
risk_averse_bo_with_input_perturbations.ipynb,False,,,
robust_multi_objective_bo.ipynb,False,,,
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,False,,,
vae_mnist.ipynb,False,,,
GIBBON_for_efficient_batch_entropy_search.ipynb,True,21.346645607000028,113.73046875,1190.6796875
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,False,,,
bo_with_warped_gp.ipynb,False,,,
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,False,,,
compare_mc_analytic_acquisition.ipynb,False,,,
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,False,,,
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,False,,,
custom_botorch_model_in_ax.ipynb,False,,,
discrete_multi_fidelity_bo.ipynb,False,,,
fit_model_with_torch_optimizer.ipynb,False,,,
information_theoretic_acquisition_functions.ipynb,False,,,
max_value_entropy.ipynb,False,,,
meta_learning_with_rgpe.ipynb,False,,,
multi_fidelity_bo.ipynb,False,,,
multi_objective_bo.ipynb,False,,,
one_shot_kg.ipynb,False,,,
optimize_stochastic.ipynb,False,,,
optimize_with_cmaes.ipynb,False,,,
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,False,,,
risk_averse_bo_with_input_perturbations.ipynb,False,,,
robust_multi_objective_bo.ipynb,False,,,
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,False,,,
vae_mnist.ipynb,False,,,
GIBBON_for_efficient_batch_entropy_search.ipynb,True,14.36171561599997,114.3671875,1147.18359375
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.0321937499999763,115.859375,553.81640625
bo_with_warped_gp.ipynb,True,295.668986326,116.45703125,613.8203125
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,400.004644202,116.45703125,600.984375
compare_mc_analytic_acquisition.ipynb,True,3.1776153680000334,117.20703125,530.546875
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,206.12518312700013,117.20703125,596.52734375
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,22.343215513999894,117.015625,917.203125
custom_botorch_model_in_ax.ipynb,True,60.920851975000005,117.25,995.7890625
discrete_multi_fidelity_bo.ipynb,True,329.50614318299995,117.25,1786.78125
fit_model_with_torch_optimizer.ipynb,True,3.389158469999984,117.3828125,556.44140625
information_theoretic_acquisition_functions.ipynb,True,166.0990308910002,119.25,1749.25
max_value_entropy.ipynb,True,9.293563619999986,119.25,921.85546875
meta_learning_with_rgpe.ipynb,True,34.98609156600014,119.5625,601.578125
multi_fidelity_bo.ipynb,True,114.79659550399992,119.5625,1767.5
multi_objective_bo.ipynb,True,378.42531513200015,119.5625,596.890625
one_shot_kg.ipynb,True,14.567113753000285,119.5625,1146.38671875
optimize_stochastic.ipynb,True,3.026043202999972,119.5625,543.8203125
optimize_with_cmaes.ipynb,True,4.732736998999826,119.5625,554.8125
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,128.09069423899973,119.5625,1142.62890625
risk_averse_bo_with_input_perturbations.ipynb,True,172.13282700599984,119.609375,1257.8984375
robust_multi_objective_bo.ipynb,True,79.59467154799995,120.6796875,692.7421875
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,164.48933854000006,122.1328125,2214.703125
vae_mnist.ipynb,False,,,
GIBBON_for_efficient_batch_entropy_search.ipynb,True,16.037349552000023,113.79296875,1175.28515625
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.2929430629999956,115.421875,553.12109375
bo_with_warped_gp.ipynb,True,309.160092856,116.2109375,613.89453125
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,408.71994330199993,116.2109375,605.98828125
compare_mc_analytic_acquisition.ipynb,True,3.2672948869999345,116.75390625,530.1328125
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,210.42234562299996,116.75390625,585.35546875
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,24.34417954100013,117.046875,917.046875
custom_botorch_model_in_ax.ipynb,True,62.204473191000034,117.54296875,993.21484375
discrete_multi_fidelity_bo.ipynb,True,439.281756329,117.54296875,1856.3359375
fit_model_with_torch_optimizer.ipynb,True,3.6133167000000412,117.58203125,556.9921875
information_theoretic_acquisition_functions.ipynb,True,175.47006005000003,119.04296875,1754.85546875
max_value_entropy.ipynb,True,9.798048569000002,119.04296875,945.0859375
meta_learning_with_rgpe.ipynb,True,37.68150959100012,119.296875,606.65625
multi_fidelity_bo.ipynb,True,117.90748987500024,119.296875,1987.4765625
multi_objective_bo.ipynb,True,426.70623462000003,119.296875,616.97265625
one_shot_kg.ipynb,True,16.96432264499981,119.296875,1279.4765625
optimize_stochastic.ipynb,True,3.2393715860002885,119.296875,542.40234375
optimize_with_cmaes.ipynb,True,3.998954894000235,119.296875,555.01171875
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,221.00908409300018,119.296875,1235.84765625
risk_averse_bo_with_input_perturbations.ipynb,True,189.55274371600035,119.296875,1286.9375
robust_multi_objective_bo.ipynb,True,87.10795334500017,120.76953125,679.2734375
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,181.31103860200028,122.26953125,2299.4453125
vae_mnist.ipynb,False,,,
GIBBON_for_efficient_batch_entropy_search.ipynb,True,14.447796745000005,114.43359375,1194.1015625
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.0610707359999765,115.9375,554.62890625
bo_with_warped_gp.ipynb,True,299.093532934,116.51171875,612.23828125
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,358.8337919229999,116.51171875,609.37109375
compare_mc_analytic_acquisition.ipynb,True,3.5872156830000677,117.01171875,531.16796875
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,213.7670535100001,117.09765625,590.59765625
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,23.00711616400008,117.12890625,914.5546875
custom_botorch_model_in_ax.ipynb,True,56.85764027899995,117.73046875,999.375
discrete_multi_fidelity_bo.ipynb,True,355.6079819229999,117.73046875,1867.828125
fit_model_with_torch_optimizer.ipynb,True,3.4773510539998824,117.859375,557.1015625
information_theoretic_acquisition_functions.ipynb,True,166.1920011220002,119.23046875,1704.0234375
max_value_entropy.ipynb,True,9.278883813999983,119.23046875,869.56640625
meta_learning_with_rgpe.ipynb,True,35.06637197600003,119.40234375,606.22265625
multi_fidelity_bo.ipynb,True,117.52888857899984,119.40234375,1563.9765625
multi_objective_bo.ipynb,True,422.42092409399993,119.40234375,629.51171875
one_shot_kg.ipynb,True,8.41497590500012,119.40234375,879.1171875
optimize_stochastic.ipynb,True,3.1064645699998437,119.40234375,542.484375
optimize_with_cmaes.ipynb,True,4.2185324140000375,119.40234375,555.421875
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,145.59965821099968,119.40234375,1209.05859375
risk_averse_bo_with_input_perturbations.ipynb,True,167.404814859,119.4453125,1231.0078125
robust_multi_objective_bo.ipynb,True,80.8529247360002,120.5625,683.5546875
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,166.87367392099986,122.01953125,2248.1484375
vae_mnist.ipynb,False,,,
