name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,17.172977175,86.8046875,1225.32421875
Multi_objective_multi_fidelity_BO.ipynb,True,269.210098229,86.91015625,961.8046875
batch_mode_cross_validation.ipynb,True,5.243865126000003,86.91015625,606.88671875
baxus.ipynb,True,150.57647180099997,86.91015625,2377.29296875
bo_with_warped_gp.ipynb,True,303.576292933,86.91015625,671.4609375
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,350.67741898299994,86.91015625,742.99609375
compare_mc_analytic_acquisition.ipynb,True,6.5706976009998925,86.91015625,573.7734375
composite_bo_with_hogp.ipynb,True,219.83401915800005,86.91015625,2903.45703125
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,203.52726448599992,86.91015625,641.3046875
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,27.20729963299982,86.91015625,966.01171875
custom_botorch_model_in_ax.ipynb,True,66.32881100899999,86.91015625,1040.17578125
discrete_multi_fidelity_bo.ipynb,True,321.50400633799995,86.91015625,1859.5234375
fit_model_with_torch_optimizer.ipynb,True,5.631499141999939,86.91015625,602.5703125
information_theoretic_acquisition_functions.ipynb,True,165.62764854299985,86.91015625,2034.40234375
max_value_entropy.ipynb,True,11.452817164999942,86.91015625,953.62109375
meta_learning_with_rgpe.ipynb,True,38.49288549599987,86.91015625,651.43359375
multi_fidelity_bo.ipynb,True,120.51904227100022,86.91015625,2036.71875
multi_objective_bo.ipynb,True,430.76583062900045,86.91015625,722.546875
one_shot_kg.ipynb,True,12.916364325999893,86.91015625,1270.34765625
optimize_stochastic.ipynb,True,5.029148870999961,86.91015625,584.7578125
optimize_with_cmaes.ipynb,True,5.755384000000049,86.91015625,591.44140625
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,194.09263024799975,86.91015625,1257.3515625
risk_averse_bo_with_input_perturbations.ipynb,True,226.52670441600003,86.91015625,1397.21875
robust_multi_objective_bo.ipynb,True,84.9731204980003,86.91015625,1403.0703125
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,169.43920650300015,86.91015625,2162.421875
vae_mnist.ipynb,False,,,
