name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,26.64937267800002,91.01171875,1216.734375
Multi_objective_multi_fidelity_BO.ipynb,True,464.65488618899997,89.51953125,957.671875
batch_mode_cross_validation.ipynb,True,7.327100583999936,89.51953125,591.71875
baxus.ipynb,True,309.80653007800004,89.51953125,2162.47265625
bo_with_warped_gp.ipynb,True,467.57974812099997,89.51953125,653.7421875
bope.ipynb,True,123.03486792399985,89.51953125,683.88671875
closed_loop_botorch_only.ipynb,True,727.2264785580003,89.51953125,635.51171875
compare_mc_analytic_acquisition.ipynb,True,9.583213027000056,89.51953125,574.05859375
composite_bo_with_hogp.ipynb,True,397.71719129099984,89.51953125,2199.453125
composite_mtbo.ipynb,True,1315.0668668390003,89.51953125,1070.25
constrained_multi_objective_bo.ipynb,True,445.88497056399956,89.64453125,621.94921875
constraint_active_search.ipynb,True,43.189011004999884,89.64453125,1403.8125
cost_aware_bayesian_optimization.ipynb,True,53.675689444000454,89.64453125,1351.20703125
custom_acquisition.ipynb,True,37.25871536500017,89.64453125,991.5859375
custom_botorch_model_in_ax.ipynb,True,119.06959588900008,89.64453125,1065.71484375
discrete_multi_fidelity_bo.ipynb,True,748.1922705119996,89.64453125,1738.53125
fit_model_with_torch_optimizer.ipynb,True,8.225800766000248,89.64453125,598.20703125
information_theoretic_acquisition_functions.ipynb,True,153.33598607099975,89.64453125,1976.53515625
max_value_entropy.ipynb,True,17.458897280999736,89.64453125,964.09765625
meta_learning_with_rgpe.ipynb,True,64.57855012899927,89.64453125,639.41015625
multi_fidelity_bo.ipynb,True,295.34214606299975,89.64453125,5016.140625
multi_objective_bo.ipynb,True,770.1846789450001,88.26953125,675.19140625
one_shot_kg.ipynb,True,24.81317016899993,88.26953125,3137.39453125
optimize_stochastic.ipynb,True,8.010033550000117,88.26953125,578.484375
optimize_with_cmaes.ipynb,True,8.568319856999551,88.26953125,582.9765625
preference_bo.ipynb,True,120.67795747699984,88.26953125,628.640625
risk_averse_bo_with_environmental_variables.ipynb,True,386.5496917069995,88.26953125,1223.3828125
risk_averse_bo_with_input_perturbations.ipynb,True,328.4469918340001,88.26953125,1287.3203125
robust_multi_objective_bo.ipynb,True,174.68351322199942,88.26953125,718.30859375
saasbo.ipynb,True,1239.5377161929991,88.26953125,1075.80078125
scalable_constrained_bo.ipynb,True,131.49016949600082,88.26953125,3601.8203125
thompson_sampling.ipynb,True,330.7322730649994,88.26953125,4685.52734375
turbo_1.ipynb,True,262.40795252300086,88.26953125,2602.78125
vae_mnist.ipynb,True,19.794700965998345,88.26953125,677.984375
