name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,16.169463037000014,114.0234375,1193.03515625
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.447465264000016,115.8203125,553.359375
bo_with_warped_gp.ipynb,True,325.715735018,116.33203125,610.90234375
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,458.3813008719999,116.33203125,604.6171875
compare_mc_analytic_acquisition.ipynb,True,4.305477977999999,116.8828125,530.140625
composite_bo_with_hogp.ipynb,True,289.3178804769998,117.08203125,5744.08984375
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,241.45571086600012,115.140625,580.08203125
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,26.830374270999982,115.140625,896.796875
custom_botorch_model_in_ax.ipynb,True,67.2846770980002,115.67578125,985.71875
discrete_multi_fidelity_bo.ipynb,True,403.68326931800016,115.67578125,1878.55078125
fit_model_with_torch_optimizer.ipynb,True,3.888760741999704,116.17578125,555.6953125
information_theoretic_acquisition_functions.ipynb,True,188.99061589699977,116.92578125,1727.34375
max_value_entropy.ipynb,True,10.09590725399994,116.67578125,882.171875
meta_learning_with_rgpe.ipynb,True,39.50143405400013,116.67578125,597.9140625
multi_fidelity_bo.ipynb,True,131.5317556509999,116.67578125,1692.05078125
multi_objective_bo.ipynb,True,456.2334762639998,116.67578125,599.1875
one_shot_kg.ipynb,True,12.198498890999872,116.67578125,1175.5546875
optimize_stochastic.ipynb,True,3.5060453630003394,116.67578125,539.515625
optimize_with_cmaes.ipynb,True,4.759607943999981,116.67578125,551.625
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,242.34766001200023,117.17578125,1255.3125
risk_averse_bo_with_input_perturbations.ipynb,True,202.97774366799968,117.17578125,1291.46875
robust_multi_objective_bo.ipynb,True,95.5836994819997,119.33203125,700.31640625
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,193.61995447799973,120.08203125,1999.93359375
vae_mnist.ipynb,False,,,
