name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,19.922902409000017,113.46875,1189.60546875
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,4.253599175999966,115.23046875,549.7109375
bo_with_warped_gp.ipynb,True,453.8846401889999,115.75,599.625
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,580.3255179399999,115.75,617.640625
compare_mc_analytic_acquisition.ipynb,True,6.4386914259998775,116.29296875,528.58984375
composite_bo_with_hogp.ipynb,True,376.60698071499996,116.29296875,2380.87890625
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,372.32594334400005,116.9140625,567.92578125
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,35.15724140800012,116.6640625,907.4453125
custom_botorch_model_in_ax.ipynb,True,89.52854327100022,117.203125,996.04296875
discrete_multi_fidelity_bo.ipynb,True,531.7465225280002,117.203125,1829.03515625
fit_model_with_torch_optimizer.ipynb,True,4.912150745999952,117.703125,556.140625
information_theoretic_acquisition_functions.ipynb,True,248.9463353000001,118.703125,1773.80078125
max_value_entropy.ipynb,True,13.667569213000206,118.203125,949.80859375
meta_learning_with_rgpe.ipynb,True,55.764840380999885,118.203125,600.953125
multi_fidelity_bo.ipynb,True,183.76620631800006,118.203125,1763.51171875
multi_objective_bo.ipynb,True,685.7204519360002,118.203125,624.55078125
one_shot_kg.ipynb,True,23.828063691999887,118.26171875,1060.51171875
optimize_stochastic.ipynb,True,4.361412912000105,118.26171875,541.33984375
optimize_with_cmaes.ipynb,True,5.825412478000089,118.453125,554.94921875
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,299.00463764000006,118.953125,1160.96484375
risk_averse_bo_with_input_perturbations.ipynb,True,231.17584010799965,118.953125,1003.06640625
robust_multi_objective_bo.ipynb,True,154.08865440699992,121.06640625,685.6953125
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,237.59187403799933,121.8125,2050.85546875
vae_mnist.ipynb,False,,,
