name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,17.25236772200003,114.23046875,1181.2578125
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.938660698000035,114.97265625,556.94921875
baxus.ipynb,True,196.44752848900004,116.3984375,2030.3671875
bo_with_warped_gp.ipynb,True,348.37650089000005,116.3984375,626.59375
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,466.7377408699999,116.3984375,620.01171875
compare_mc_analytic_acquisition.ipynb,True,4.040425341999935,116.3984375,535.16796875
composite_bo_with_hogp.ipynb,True,260.8538906429999,116.921875,4366.890625
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,265.316660643,116.921875,579.109375
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,27.89046802300004,116.921875,920.26953125
custom_botorch_model_in_ax.ipynb,True,72.33508791700001,117.453125,992.29296875
discrete_multi_fidelity_bo.ipynb,True,487.2554135849998,117.453125,1814.3046875
fit_model_with_torch_optimizer.ipynb,True,4.461186440999882,117.93359375,635.70703125
information_theoretic_acquisition_functions.ipynb,True,189.42254225299985,118.74609375,1901.328125
max_value_entropy.ipynb,True,11.202321775999735,118.74609375,896.265625
meta_learning_with_rgpe.ipynb,True,42.05600314200001,118.74609375,608.171875
multi_fidelity_bo.ipynb,True,146.44322268299993,118.74609375,1631.734375
multi_objective_bo.ipynb,True,499.89562977199967,118.74609375,630.03125
one_shot_kg.ipynb,True,12.140655497000353,118.74609375,1322.015625
optimize_stochastic.ipynb,True,4.09038004499962,118.74609375,547.296875
optimize_with_cmaes.ipynb,True,4.702323789000275,118.74609375,550.36328125
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,257.79393492400004,118.74609375,1161.3125
risk_averse_bo_with_input_perturbations.ipynb,True,246.790327702,119.1171875,1348.65234375
robust_multi_objective_bo.ipynb,True,98.53066664100015,120.4921875,752.4609375
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,199.45048384999973,121.7421875,2234.47265625
vae_mnist.ipynb,False,,,
