name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,21.93627041899998,91.48046875,1241.7890625
Multi_objective_multi_fidelity_BO.ipynb,True,370.7784674480001,89.8671875,1031.45703125
batch_mode_cross_validation.ipynb,True,6.717963585000007,89.8671875,594.83203125
baxus.ipynb,True,194.969599357,89.8671875,2495.79296875
bo_with_warped_gp.ipynb,True,382.5499639039999,89.8671875,651.9453125
bope.ipynb,True,95.16579603900004,89.8671875,707.79296875
closed_loop_botorch_only.ipynb,True,526.0058915029999,89.8671875,658.953125
compare_mc_analytic_acquisition.ipynb,True,7.806775292999873,89.8671875,572.0234375
composite_bo_with_hogp.ipynb,True,291.2435641369998,89.8671875,3451.9765625
composite_mtbo.ipynb,True,982.2257547129998,89.8671875,1043.5234375
constrained_multi_objective_bo.ipynb,True,417.16060027699996,89.8671875,620.6796875
constraint_active_search.ipynb,True,34.721884042000056,89.8671875,1345.83984375
cost_aware_bayesian_optimization.ipynb,True,45.32331425400025,89.8671875,1428.609375
custom_acquisition.ipynb,True,32.9464936749996,89.8671875,984.95703125
custom_botorch_model_in_ax.ipynb,True,111.23371421000002,89.8671875,1061.0234375
discrete_multi_fidelity_bo.ipynb,True,645.9449076579995,89.8671875,1751.3046875
fit_model_with_torch_optimizer.ipynb,True,7.673625537000589,89.8671875,599.02734375
information_theoretic_acquisition_functions.ipynb,True,143.15715116199954,89.8671875,1888.4453125
max_value_entropy.ipynb,True,15.01451328999974,89.8671875,963.19921875
meta_learning_with_rgpe.ipynb,True,50.12479614399945,89.8671875,628.3203125
multi_fidelity_bo.ipynb,True,243.94430232099967,89.8671875,5216.75
multi_objective_bo.ipynb,True,531.1874940160005,89.7421875,684.70703125
one_shot_kg.ipynb,True,27.17566433799948,89.7421875,3122.484375
optimize_stochastic.ipynb,True,7.00838783799918,89.7421875,581.18359375
optimize_with_cmaes.ipynb,True,7.286822733000008,89.7421875,584.90625
preference_bo.ipynb,True,92.46837950400004,89.7421875,620.37109375
risk_averse_bo_with_environmental_variables.ipynb,True,252.39690491000056,89.7421875,1194.734375
risk_averse_bo_with_input_perturbations.ipynb,True,234.517652775,89.7421875,1329.828125
robust_multi_objective_bo.ipynb,True,117.9718224469998,89.7421875,709.3203125
saasbo.ipynb,True,936.5996877709995,89.7421875,1160.70703125
scalable_constrained_bo.ipynb,True,331.5602066800002,89.7421875,5024.890625
thompson_sampling.ipynb,True,190.34315323700048,89.7421875,4693.515625
turbo_1.ipynb,True,218.947034111,89.7421875,2729.92578125
vae_mnist.ipynb,True,21.593590015999325,89.7421875,673.7578125
