name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,16.037349552000023,113.79296875,1175.28515625
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.2929430629999956,115.421875,553.12109375
bo_with_warped_gp.ipynb,True,309.160092856,116.2109375,613.89453125
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,408.71994330199993,116.2109375,605.98828125
compare_mc_analytic_acquisition.ipynb,True,3.2672948869999345,116.75390625,530.1328125
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,210.42234562299996,116.75390625,585.35546875
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,24.34417954100013,117.046875,917.046875
custom_botorch_model_in_ax.ipynb,True,62.204473191000034,117.54296875,993.21484375
discrete_multi_fidelity_bo.ipynb,True,439.281756329,117.54296875,1856.3359375
fit_model_with_torch_optimizer.ipynb,True,3.6133167000000412,117.58203125,556.9921875
information_theoretic_acquisition_functions.ipynb,True,175.47006005000003,119.04296875,1754.85546875
max_value_entropy.ipynb,True,9.798048569000002,119.04296875,945.0859375
meta_learning_with_rgpe.ipynb,True,37.68150959100012,119.296875,606.65625
multi_fidelity_bo.ipynb,True,117.90748987500024,119.296875,1987.4765625
multi_objective_bo.ipynb,True,426.70623462000003,119.296875,616.97265625
one_shot_kg.ipynb,True,16.96432264499981,119.296875,1279.4765625
optimize_stochastic.ipynb,True,3.2393715860002885,119.296875,542.40234375
optimize_with_cmaes.ipynb,True,3.998954894000235,119.296875,555.01171875
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,221.00908409300018,119.296875,1235.84765625
risk_averse_bo_with_input_perturbations.ipynb,True,189.55274371600035,119.296875,1286.9375
robust_multi_objective_bo.ipynb,True,87.10795334500017,120.76953125,679.2734375
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,181.31103860200028,122.26953125,2299.4453125
vae_mnist.ipynb,False,,,
