name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,14.326784262999979,114.078125,1175.49609375
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.159223206999968,115.07421875,551.8046875
bo_with_warped_gp.ipynb,True,294.844600936,115.57421875,612.62890625
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,422.92063575,115.57421875,596.01171875
compare_mc_analytic_acquisition.ipynb,True,4.1320367899999155,116.32421875,529.703125
composite_bo_with_hogp.ipynb,True,252.06149648400003,116.32421875,6342.1328125
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,226.98525324599996,88.06640625,548.3046875
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,23.305029683000157,88.6015625,877.234375
custom_botorch_model_in_ax.ipynb,True,62.738172532000135,89.16015625,947.77734375
discrete_multi_fidelity_bo.ipynb,True,351.5018837770001,89.39453125,1822.23046875
fit_model_with_torch_optimizer.ipynb,True,3.445820851999997,89.6484375,512.53125
information_theoretic_acquisition_functions.ipynb,True,175.13331501099992,90.18359375,1709.52734375
max_value_entropy.ipynb,True,9.607020717000069,90.19140625,898.6484375
meta_learning_with_rgpe.ipynb,True,35.35308390399996,90.19140625,560.28515625
multi_fidelity_bo.ipynb,True,122.75467397199964,90.19140625,1449.0546875
multi_objective_bo.ipynb,True,425.4627943859996,90.19140625,582.359375
one_shot_kg.ipynb,True,9.082209700000021,90.19140625,967.54296875
optimize_stochastic.ipynb,True,3.099872914000116,90.19140625,499.5078125
optimize_with_cmaes.ipynb,True,4.190317165000124,90.19140625,509.93359375
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,229.74907860099984,90.49609375,1085.8515625
risk_averse_bo_with_input_perturbations.ipynb,True,173.91221015700012,90.49609375,1385.81640625
robust_multi_objective_bo.ipynb,True,81.87800445699986,91.54296875,642.1015625
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,170.3206990360004,92.48828125,1945.7578125
vae_mnist.ipynb,False,,,
