name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,17.99805575700003,87.1484375,1248.203125
Multi_objective_multi_fidelity_BO.ipynb,True,258.78211770300004,87.2578125,933.51171875
batch_mode_cross_validation.ipynb,True,5.211687606000055,87.2578125,607.2421875
baxus.ipynb,True,162.31541256700007,87.2578125,2432.77734375
bo_with_warped_gp.ipynb,True,280.56955203100006,87.2578125,652.1953125
bope.ipynb,True,76.44605806100003,87.2578125,657.6640625
closed_loop_botorch_only.ipynb,True,326.613460495,87.2578125,667.07421875
compare_mc_analytic_acquisition.ipynb,True,6.30212131899998,87.2578125,576.30859375
composite_bo_with_hogp.ipynb,True,218.89371239700017,87.2578125,2992.65625
composite_mtbo.ipynb,True,730.1984890690001,87.2578125,992.77734375
constrained_multi_objective_bo.ipynb,True,194.374948485,87.2578125,637.1796875
constraint_active_search.ipynb,True,26.287272011999903,87.2578125,1342.52734375
custom_acquisition.ipynb,True,23.935256655999638,87.2578125,965.765625
custom_botorch_model_in_ax.ipynb,True,44.35004940299996,87.2578125,1045.6484375
discrete_multi_fidelity_bo.ipynb,True,332.46262036100006,87.2578125,1878.328125
fit_model_with_torch_optimizer.ipynb,True,5.400495798000065,87.2578125,604.0078125
information_theoretic_acquisition_functions.ipynb,True,128.45960739299971,87.2578125,2772.66796875
max_value_entropy.ipynb,True,11.227086646999851,87.2578125,939.30078125
meta_learning_with_rgpe.ipynb,True,39.08927278600004,87.2578125,649.0
multi_fidelity_bo.ipynb,True,111.9294828699999,87.2578125,1951.9375
multi_objective_bo.ipynb,True,378.6811284630003,87.2578125,743.28515625
one_shot_kg.ipynb,True,12.075716571000157,87.2578125,1342.23828125
optimize_stochastic.ipynb,True,5.052929587000108,87.2578125,586.19921875
optimize_with_cmaes.ipynb,True,6.438443265999922,87.2578125,595.921875
preference_bo.ipynb,True,2.020112794999932,87.2578125,294.9296875
risk_averse_bo_with_environmental_variables.ipynb,True,138.47952952800006,87.2578125,1293.96484375
risk_averse_bo_with_input_perturbations.ipynb,True,163.87485882599958,87.2578125,1090.859375
robust_multi_objective_bo.ipynb,True,86.58071372899985,87.2578125,1019.328125
saasbo.ipynb,True,703.2805553620001,87.2578125,1179.72265625
scalable_constrained_bo.ipynb,True,256.8484879780008,87.2578125,4661.171875
thompson_sampling.ipynb,True,141.63031880800008,87.203125,4742.95703125
turbo_1.ipynb,True,167.57500996599993,87.203125,2171.828125
vae_mnist.ipynb,True,11.504145783999775,87.203125,675.65625
