name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,19.627301517999996,87.0703125,1238.046875
Multi_objective_multi_fidelity_BO.ipynb,True,312.10667208100006,87.17578125,831.46484375
batch_mode_cross_validation.ipynb,True,6.202786379999964,87.17578125,604.3046875
baxus.ipynb,True,188.015890141,87.17578125,2109.5625
bo_with_warped_gp.ipynb,True,353.93114845000014,87.17578125,660.23828125
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,494.4521582300001,87.17578125,661.9296875
compare_mc_analytic_acquisition.ipynb,True,6.268721474999893,87.17578125,575.21484375
composite_bo_with_hogp.ipynb,True,279.14414520700007,87.17578125,6332.40234375
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,288.3132839959999,12.921875,496.78515625
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,32.84375616899979,14.28515625,813.14453125
custom_botorch_model_in_ax.ipynb,True,73.51691193599981,14.29296875,898.203125
discrete_multi_fidelity_bo.ipynb,True,422.78840886499984,14.30859375,1766.90234375
fit_model_with_torch_optimizer.ipynb,True,6.305248527000003,14.390625,465.953125
information_theoretic_acquisition_functions.ipynb,True,199.14900845300008,14.3984375,1784.8984375
max_value_entropy.ipynb,True,13.190126366000186,14.40234375,794.71484375
meta_learning_with_rgpe.ipynb,True,46.38740170300025,14.40234375,513.3046875
multi_fidelity_bo.ipynb,True,140.5020495509998,14.40625,1809.6796875
multi_objective_bo.ipynb,True,501.67798460899985,14.41015625,528.5390625
one_shot_kg.ipynb,True,10.829642424999747,14.46484375,1209.390625
optimize_stochastic.ipynb,True,5.533333276000121,14.484375,450.82421875
optimize_with_cmaes.ipynb,True,7.01906289200042,14.4921875,461.265625
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,220.82279070100003,14.5,1168.09375
risk_averse_bo_with_input_perturbations.ipynb,True,221.97716375000027,14.50390625,1068.25390625
robust_multi_objective_bo.ipynb,True,104.516567441,14.50390625,651.00390625
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,207.38472188299966,14.5078125,2022.44140625
vae_mnist.ipynb,False,,,
