name,ran_successfully,runtime,start_mem,max_mem
GIBBON_for_efficient_batch_entropy_search.ipynb,True,14.447796745000005,114.43359375,1194.1015625
Multi_objective_multi_fidelity_BO.ipynb,False,,,
batch_mode_cross_validation.ipynb,True,3.0610707359999765,115.9375,554.62890625
bo_with_warped_gp.ipynb,True,299.093532934,116.51171875,612.23828125
bope.ipynb,False,,,
closed_loop_botorch_only.ipynb,True,358.8337919229999,116.51171875,609.37109375
compare_mc_analytic_acquisition.ipynb,True,3.5872156830000677,117.01171875,531.16796875
composite_bo_with_hogp.ipynb,False,,,
composite_mtbo.ipynb,False,,,
constrained_multi_objective_bo.ipynb,True,213.7670535100001,117.09765625,590.59765625
constraint_active_search.ipynb,False,,,
custom_acquisition.ipynb,True,23.00711616400008,117.12890625,914.5546875
custom_botorch_model_in_ax.ipynb,True,56.85764027899995,117.73046875,999.375
discrete_multi_fidelity_bo.ipynb,True,355.6079819229999,117.73046875,1867.828125
fit_model_with_torch_optimizer.ipynb,True,3.4773510539998824,117.859375,557.1015625
information_theoretic_acquisition_functions.ipynb,True,166.1920011220002,119.23046875,1704.0234375
max_value_entropy.ipynb,True,9.278883813999983,119.23046875,869.56640625
meta_learning_with_rgpe.ipynb,True,35.06637197600003,119.40234375,606.22265625
multi_fidelity_bo.ipynb,True,117.52888857899984,119.40234375,1563.9765625
multi_objective_bo.ipynb,True,422.42092409399993,119.40234375,629.51171875
one_shot_kg.ipynb,True,8.41497590500012,119.40234375,879.1171875
optimize_stochastic.ipynb,True,3.1064645699998437,119.40234375,542.484375
optimize_with_cmaes.ipynb,True,4.2185324140000375,119.40234375,555.421875
preference_bo.ipynb,False,,,
risk_averse_bo_with_environmental_variables.ipynb,True,145.59965821099968,119.40234375,1209.05859375
risk_averse_bo_with_input_perturbations.ipynb,True,167.404814859,119.4453125,1231.0078125
robust_multi_objective_bo.ipynb,True,80.8529247360002,120.5625,683.5546875
saasbo.ipynb,False,,,
scalable_constrained_bo.ipynb,False,,,
thompson_sampling.ipynb,False,,,
turbo_1.ipynb,True,166.87367392099986,122.01953125,2248.1484375
vae_mnist.ipynb,False,,,
